text,clean_doc,summary,nltk_sentiment_summary,nltk_sentiment_fulltext,transformer_sentiment_fulltext,transformer_score_fulltext,transformer_sentiment_summary,transformer_score_summary
"New episode of Dad I Have a Question podcast: “what is Chat GPT?”
#ChatGPT 

https://t.co/khKgI7ef0H",new episode dad question podcast chat gpt https co khkgi ef h, new episode dad question podcast chat g,Neutral,Neutral,positive,0.9209821224212646,neutral,0.836086094379425
"Loving #AI helping #web3 and #metaverse utility!

Check this out from @unstoppableweb using @ChatwithGPT 

We’re demoing a  new feature that uses #ChatGPT AI to suggest Web3 domain names based on your search

https://t.co/r5vBGwztOL

Try the demo and tell me what you think 👇👇 https://t.co/Y9j4C3vXYh",loving helping utility check unstoppableweb using chatwithgpt demoing new feature uses ai suggest web domain names based search https co r vbgwztol try demo tell think https co j c vxyh, Check unstoppableweb using chatwithg,Neutral,Positive,neutral,0.7572744488716125,neutral,0.9027115702629089
Help #ChatGPT! What do I do? https://t.co/7RpHPHAF9c,help https co rphphaf c, Help us find out more about how,Positive,Positive,positive,0.7914966344833374,positive,0.9456166625022888
Interesting thread #ChatGPT - start at top. Below is practical takeaway. https://t.co/GlSiR2jyhQ,interesting thread start top practical takeaway https co glsir jyhq, interesting thread start start top practical takeaway,Positive,Positive,neutral,0.8001176118850708,neutral,0.7443253993988037
"👩🏿‍💻 Automate reverse engineering tasks. We all want to work more effectively. #ChatGPT can help write scripts in #IDAPython or #java for #Ghidra. 

12/13 https://t.co/YSY707DzbD",automate reverse engineering tasks want work effectively help write scripts https co ysy dzbd, automation reverse engineering tasks want work effectively,Positive,Positive,neutral,0.8469922542572021,neutral,0.7762592434883118
"Analyze code segments in malware samples. Ask #ChatGPT about the purpose of functions in pseudocode or disassembly.  

8/13",analyze code segments malware samples ask purpose functions pseudocode disassembly, analyze code segments malware samples analyze code,Neutral,Neutral,neutral,0.9021281003952026,neutral,0.8760101199150085
"🗣️ Translate Between Instruction Sets. Familiar with #Intel but need to learn #arm? Tell #ChatGPT to translate assembly code written in one instruction set to another. 

6/13",translate instruction sets familiar need learn tell translate assembly code written one instruction set another, translate instruction sets familiar need learn tell,Neutral,Neutral,neutral,0.7172561287879944,neutral,0.6852213144302368
"🧪 Write PoC source code quickly. #ChatGPT can help us to write source code to test our theories, and it knows all your favourite languages #golang, #rust, #python, #c and more. 

5/13",write poc source code quickly help us write source code test theories knows favourite languages, write poc source code quickly help,Positive,Positive,neutral,0.9228053689002991,neutral,0.8642292022705078
"😉Understand how source code translates to #disassembly. How do changes in source code reflect when viewed through the eyes of a disassembler? You can coax #ChatGPT into disassembling code for you.  

4/13 https://t.co/1rJUpUjvSl",understand source code translates changes source code reflect viewed eyes disassembler coax disassembling code https co rjupujvsl, understand source code translates changes source code,Neutral,Neutral,neutral,0.7887791395187378,neutral,0.8219704031944275
"👾 Teach yourself #assembly language. Ask #ChatGPT to convert high-level code into assembly. #arm #intel little endian big endian #nasm #masm. It knows them all. 

3/13",teach language ask convert high level code assembly little endian big endian knows, teach language ask convert high level code,Neutral,Neutral,neutral,0.830420732498169,neutral,0.8868008255958557
"🧵 Everyone’s chatting about 🤖#ChatGPT. Here are 11 things it can do for #malware analysts, #security researchers, and #reverse engineers. A thread &gt;&gt;👇 🧵 
1/13",everyone chatting things analysts researchers engineers thread gt gt, everyone chatting things analysts researchers researchers engineers,Neutral,Positive,positive,0.9293023943901062,neutral,0.836086094379425
"Loving #AI helping #web3 and #metaverse utility!

Check this out from @unstoppableweb using @ChatwithGPT 

We’re demoing a  new feature that uses #ChatGPT AI to suggest Web3 domain names based on your search

https://t.co/IytuyfY0n1

Try the demo and tell me what you think 👇👇 https://t.co/KyZVeR3CcV",loving helping utility check unstoppableweb using chatwithgpt demoing new feature uses ai suggest web domain names based search https co iytuyfy n try demo tell think https co kyzver ccv, Check unstoppableweb using chatwithg,Neutral,Positive,negative,0.5242512226104736,negative,0.5089101195335388
"4/ #chatgpt has stirred up the hornet's nest by posing an existential threat to Google. 

There are rumors of a Code Red at Google.",stirred hornet nest posing existential threat google rumors code red google, stirred hornet nest posing existential threat,Negative,Negative,neutral,0.8836882710456848,neutral,0.87589031457901
"2/ OpenAI released #chatgpt. 

OpenAI was aware that this will be interpreted as a Google killer. 

They have not released any details of ChatGPT. 

Just a blog post. 

https://t.co/5xsZ1QOfOz",openai released openai aware interpreted google killer released details chatgpt blog post https co xsz qofoz, openai released openai aware interpreted,Neutral,Negative,neutral,0.7479908466339111,neutral,0.8327969312667847
"openAI or ""open""AI?

1/ OpenAI's #chatgpt release will mark the beginning of the end of the golden age of open research in deep learning.

This will have significant implications for LLM research going forward. 

Here are some thoughts from me, @vivek7ue and @rajhans_samdani 🧵",openai open ai openai release mark beginning end golden age open research deep learning significant implications llm research going forward thoughts vivek ue rajhans samdani, openai open ai release mark,Neutral,Positive,positive,0.5206922292709351,positive,0.52091383934021
"ChatGPT, Write a tweet about the Anova Precision Oven: ""It's revolutionizing the way people cook at home, with precise temperature control and easy sous vide cooking. Try it out and see for yourself! #Anova #sousvide #cooking #precision"" 

Accurate? 
#ChatGPT",chatgpt write tweet anova precision oven revolutionizing way people cook home precise temperature control easy sous vide cooking try see accurate, anova precision oven revolutionizing way,Neutral,Positive,neutral,0.7514956593513489,neutral,0.5211037993431091
"📱Can you train #ChatGPT to be your #DigitalAssistant? 

#ChatGPT answers quick questions and it can even writes blogs and essays for you. Can it assist you? 👩‍💻 

CEO &amp; Lead Analyst, @JimLundy compares ChatGPT to #Siri and #GoogleAssistant: https://t.co/sCQUHZALfY https://t.co/K84JwN58bm",train answers quick questions even writes blogs essays assist ceo amp lead analyst jimlundy compares chatgpt https co scquhzalfy https co k jwn bm, train answers quick questions even writes blogs,Neutral,Neutral,positive,0.5206922292709351,positive,0.52091383934021
"ChatGPT, Write a tweet about the Anova Precision Oven: ""It's revolutionizing the way people cook at home, with precise temperature control and easy sous vide cooking. Try it out and see for yourself! #Anova #sousvide #cooking #precision"" 

Accurate? 
#ChatGPT",chatgpt write tweet anova precision oven revolutionizing way people cook home precise temperature control easy sous vide cooking try see accurate, anova precision oven revolutionizing way,Neutral,Positive,neutral,0.8305442333221436,neutral,0.8372463583946228
"In one Asimov future, the people that used computers would ask it questions and interpret the answers for everyone else. #ChatGPT (this is also one of my favorite short stories)

https://t.co/xtuFaG7q1t",one asimov future people used computers would ask questions interpret answers everyone else also one favorite short stories https co xtufag q, Asimov future people used computers would,Neutral,Positive,positive,0.8790513873100281,positive,0.9478354454040527
"vidlQ has been working on something exciting!

Get ready to turn your small channel BIG with the help of Al. Think #ChatGPT but trained to be a YouTube Coach!

Check out an early preview build of the vidlQ Al coach for free by registering at https://t.co/x11FCpb0DE https://t.co/QSmh0prqt0",vidlq working something exciting get ready turn small channel big help al think trained youtube coach check early preview build vidlq al coach free registering https co x fcpb de https co qsmh prqt, vidlq working something exciting,Positive,Positive,positive,0.5545865893363953,neutral,0.782373309135437
"1/ #ChatGPT is closing out 2022 with a bang, but what’s next? 💥 

@OpenAI’s #GPT4 is set to be the first big #AI thing in 2023.

So here are some bold, optimistic, yet sensible predictions from me, @vivek7ue and @rajhans_samdani ... 👀",closing bang next openai set first big thing bold optimistic yet sensible predictions vivek ue rajhans samdani, Rajhans samdani,Neutral,Positive,neutral,0.5471755862236023,neutral,0.6046873331069946
"🤖New on #SentinelLabs! We tested #ChatGPT to see how it can help reverse engineers &amp; malware analysts. From finding patterns in #malware samples to understanding #vulnerabilities and exploit code, #ChatGPT proved valuable. By @milenkowski &amp; @philofishal 
https://t.co/J8witxpxNe",new tested see help reverse engineers amp malware analysts finding patterns samples understanding exploit code proved valuable milenkowski amp philofishal https co j witxpxne, Malware reverse engineers help reverse engineers,Positive,Positive,positive,0.6766051650047302,neutral,0.8470315337181091
.@pcsathy test drives the new AI phenom #ChatGPT and discovers it could really someday take every job in Hollywood. https://t.co/0L59XBAWmJ,pcsathy test drives new ai phenom discovers could really someday take every job hollywood https co l xbawmj, pcsathy test drives new a,Neutral,Neutral,positive,0.7987648844718933,negative,0.5277765393257141
Who hasn't at least heard of #ChatGPT let alone composed a poem or 2? 🙋 #AI has definitely topped the news...so how can #programmers stay ahead of the game? https://t.co/A2FNNbWtum https://t.co/yrHPrAYaO4,least heard let alone composed poem definitely topped news stay ahead game https co fnnbwtum https co yrhprayao, least heard let alone composed poem definitely,Positive,Positive,neutral,0.8550737500190735,neutral,0.7415199279785156
"✏️ We asked #ChatGPT to write a 600 word blog on itself, and boy, did it deliver! #Content #AI #ArtificialIntelligence 📃 

🤖 Check it out: https://t.co/YEZHBiK5o6 https://t.co/AIsCEB5fH1",asked write word blog boy deliver check https co yezhbik https co aisceb fh, asked write word blog boy deliver check,Neutral,Neutral,positive,0.6960381269454956,neutral,0.6142573952674866
"#ChatGPT would be the perfect platform to bring widespread #micropayments to the internet, to replace the stranglehold advertising has had over the web.",would perfect platform bring widespread internet replace stranglehold advertising web, Internet would bring widespread internet replace str,Neutral,Positive,neutral,0.6812664866447449,neutral,0.7753611207008362
"When making a request in #OpenAI #ChatGPT, It takes everything in me not to end said request with 𝘱𝘭𝘦𝘢𝘴𝘦.",making request takes everything end said request, making request takes everything end said request,Neutral,Neutral,negative,0.7966663241386414,negative,0.900347113609314
"Not bad, #ChatGPT. But somewhat rote. Sorry to judge. https://t.co/PTrYE1K87B",bad somewhat rote sorry judge https co ptrye k b, bad somewhat rote sorry judge .,Negative,Negative,neutral,0.8697429299354553,neutral,0.8666278123855591
"Training #chatGPT on #zkp ... 

It should be part of every PI/mentor didactic training to train a bot, lot of patience required😆 https://t.co/B3Q0Ew6sza",training part every pi mentor didactic training train bot lot patience required https co b q ew sza, training part of every pi mentor did,Neutral,Neutral,neutral,0.8192657828330994,neutral,0.8462649583816528
"TLDR by #chatGPT about how blockchain and decentralized identity can change our world 🖖

#cardano #prism #midnight https://t.co/eT42nqMmqz",tldr blockchain decentralized identity change world https co et nqmmqz, tldr blockchain decentralized identity change,Neutral,Neutral,positive,0.7424097657203674,positive,0.8448160886764526
Ok this one's impressive. #ChatGPT https://t.co/ypYjl3k0X7,ok one impressive https co ypyjl k x, ok one impressive https co ypy,Positive,Positive,neutral,0.8984470963478088,neutral,0.8573541641235352
#ChatGPT Today https://t.co/JILV7leo7I,today https co jilv leo, http:// co jilv le,Neutral,Neutral,neutral,0.613291323184967,positive,0.8219349384307861
"Well, if #ChatGPT said it....

@OpenAI #AI #DigitalTransformation https://t.co/8ioEwnj5dP",well said openai https co ioewnj dp, well said openai. well said,Positive,Positive,positive,0.5159521698951721,positive,0.588634192943573
"#ChatGPT just crossed over 1 million users/testers, helping to both train the platform and also promote it. 💡 https://t.co/L6NdtWcIxJ",crossed million users testers helping train platform also promote https co l ndtwcixj, crossed million users testers helping train platform,Positive,Positive,neutral,0.9022696018218994,neutral,0.8384922742843628
"Me: ""ChatGPT, explain #chatgpt to the average user.""

ChaptGPT: ""ChatGPT is a chatbot that uses natural language processing (NLP) to generate esponses to user input in a conversational manner. It is based on the GPT-3 language model, which has been trained on a large...""👇 https://t.co/wzabGlH3kQ",chatgpt explain average user chaptgpt chatgpt chatbot uses natural language processing nlp generate esponses user input conversational manner based gpt language model trained large https co wzabglh kq, chatgpt uses natural language processing,Positive,Positive,negative,0.49235913157463074,neutral,0.8687586784362793
"@JoeSaluzzi Speaking of #ChatGPT, which I'm sure there's fatigue over already, whatever happened to IBM's Watson, that was supposed to take over the world? (https://t.co/8uhT4szwL1)",joesaluzzi speaking sure fatigue already whatever happened ibm watson supposed take world https co uht szwl, joesaluzzi speaking sure,Positive,Positive,negative,0.6666997671127319,neutral,0.7561072111129761
I keep thinking google has lots of reason to be scared… #ChatGPT #OpenAIChatGPT $goog,keep thinking google lots reason scared goog, keep thinking google lots of reason for,Neutral,Negative,neutral,0.5004059076309204,negative,0.6767687797546387
"From #ChatGPT 
How can I help someone who may be considering suicide?
#OpenAI https://t.co/jvdAhnZ0Vf",help someone may considering suicide https co jvdahnz vf, help someone may considering suicide . help,Negative,Negative,neutral,0.9104940891265869,neutral,0.910041332244873
@hjpimentel This answer and the 5 thread description of it was produced by #ChatGPT,hjpimentel answer thread description produced, hjpimentel answer thread description,Neutral,Neutral,neutral,0.8635014891624451,neutral,0.7599302530288696
#ChatGPT starts a new religion? https://t.co/HbTZjKZxvE,starts new religion https co hbtzjkzxve," starts new religion: Atheist,",Neutral,Neutral,neutral,0.6651515364646912,neutral,0.8359546661376953
"After years of preaching that conversational search was its future, Google stood by as the world discovered #ChatGPT. https://t.co/1zJvCSVcBL",years preaching conversational search future google stood world discovered https co zjvcsvcbl, Google stood world discovered when world discovered,Neutral,Neutral,neutral,0.877391517162323,neutral,0.8456125855445862
"👀 A Glimpse Into the Future of Work Is Here.
 
CEO &amp; Lead Analyst, @JimLundy discusses the future of #DigitalAssistants with OpenAI’s new chatbot, #ChatGPT - including how it compares to Google's #GoogleAssistant &amp; Apple's #Siri. 🤖

See the comparisons: https://t.co/sCQUHZBj5w",glimpse future work ceo amp lead analyst jimlundy discusses future openai new chatbot including compares google amp apple see comparisons https co scquhzbj w, openai new chatbot including compares,Neutral,Neutral,neutral,0.7600724697113037,negative,0.5479666590690613
Messing with #ChatGPT https://t.co/1iaZWC5oox,messing https co iazwc oox, Messy messing messing messing https co,Negative,Neutral,neutral,0.6878235936164856,neutral,0.814296305179596
"Interesting note about #ChatGPT: its data only goes up to Sept 2021

Important for creators to remember because alot of our content is giving our take on trends, news, etc https://t.co/V2e8BON2UU",interesting note data goes sept important creators remember alot content giving take trends news etc https co v e bon uu," ""interesting note data goes sept",Positive,Positive,neutral,0.851557195186615,neutral,0.8669697642326355
I asked. #ChatGPT https://t.co/wMqKZvO4KG,asked https co wmqkzvo kg, asked co co wmqk,Neutral,Neutral,neutral,0.7335658669471741,neutral,0.7061224579811096
"AI PR reviews. What could go wrong? #chatGPT 

https://t.co/ETunZ6hVUy",ai pr reviews could go wrong https co etunz hvuy, ai pr reviews could go wrong,Negative,Negative,neutral,0.858013391494751,neutral,0.805060088634491
"So I asked #ChatGPT ""how do you grow a youtube channel quickly?"" Here was the response. @robertoblake @NickNimmin @DeeNimmin, what do you think? I notice sub for the sub is not one of the tips lol. #YouTube #ContentCreators #artificalintelligence https://t.co/wHovsJsq5E",asked grow youtube channel quickly response robertoblake nicknimmin deenimmin think notice sub sub one tips lol https co whovsjsq e, asked grow youtube channel quickly response ro,Neutral,Positive,positive,0.8845241665840149,positive,0.9100136756896973
Post your best #TrueNAS poem that is created with #ChatGPT below! 👇,post best poem created, Post best poem created created . Post,Positive,Positive,positive,0.8514673709869385,positive,0.9048342704772949
We didn't think we could love #Lakehouse anymore.... until we read @OpenAI's #ChatGPT Lakehouse poem 🥺 https://t.co/4BsIXuFppC,think could love anymore read openai lakehouse poem https co bsixufppc, think could love anymore read openai,Positive,Positive,positive,0.8110134601593018,positive,0.9480094909667969
"Crisis averted 😅

Thanks #ChatGPT! https://t.co/Hh7XD2yhDm https://t.co/zNwHkztWyU",crisis averted thanks https co hh xd yhdm https co znwhkztwyu, crisis averted thanks thanks thanks to,Positive,Positive,positive,0.8734855651855469,positive,0.7257192730903625
#ChatGPT isn’t just for asking questions and getting compelling generative #AI generated answers… Here is a useful thread on “10 mindblowing things you can do with ChatGPT”… https://t.co/0SnoB1X883,asking questions getting compelling generative generated answers useful thread mindblowing things chatgpt https co snob x, Getting compelling generative generated answers useful,Positive,Positive,neutral,0.8146816492080688,neutral,0.8132248520851135
I asked #ChatGPT this and got that. Lol https://t.co/fIIjn2AqDZ,asked got lol https co fiijn aqdz, Asked got lol. asked got lol,Positive,Positive,neutral,0.7343158721923828,neutral,0.7510166764259338
The power of this (presently) free tool #ChatGPT is astonishing. See below https://t.co/pCwk8a4BKy,power presently free tool astonishing see https co pcwk bky, power presently free tool is a free,Positive,Positive,positive,0.7824892401695251,positive,0.5809434056282043
"Just saw a shooting star and made a wish for world peace. Let's all strive to make it come true, together.

#spreadlove #worldpeace #OpenAI #ChatGPT https://t.co/58XsOctrim",saw shooting star made wish world peace let strive make come true together https co xsoctrim, saw shooting star made wish world peace,Positive,Positive,positive,0.7626277208328247,positive,0.95639568567276
"Great video explainer by @stbearman about @OpenAI 's #ChatGPT and what it can be used for. 

Admittedly, she did not mention its facility for generating doggerel about private parts, but I understand that is not a key function for most people. https://t.co/ujaAdrIKs2",great video explainer stbearman openai used admittedly mention facility generating doggerel private parts understand key function people https co ujaadriks, great video explainer stbearman,Positive,Positive,neutral,0.8713476657867432,neutral,0.6924599409103394
How soon before someone builds a gmail or outlook plug in where you can draft email replies via #ChatGPT?,soon someone builds gmail outlook plug draft email replies via, soon someone builds gmail outlook plug,Neutral,Neutral,neutral,0.854753315448761,neutral,0.7687371373176575
"My first experience with #ChatGPT 
(This story was made-up by a computer in five seconds.) https://t.co/mcP8H99HAf",first experience story made computer five seconds https co mcp h haf, first experience story made computer five seconds,Neutral,Neutral,neutral,0.5568548440933228,neutral,0.6585738658905029
"Come hither to our safe haven, where your wrinkles and imperfections are welcome and the terms of service and monthly fees are nil and kind. 

#lensa #ai #AIart #stablediffusion #AIArtwork #OpenAI #ChatGPT #ArtificialIntelligence #Futurism https://t.co/7x26443ShE",come hither safe wrinkles imperfections welcome terms service monthly fees nil kind https co x, come hither safe wrinkles are imperfections,Positive,Positive,neutral,0.7761596441268921,neutral,0.7444886565208435
How does #ChatGPT work? https://t.co/Ne5zSEgK4a,work https co ne zsegk, work https co ne zseg,Neutral,Neutral,neutral,0.9046151041984558,neutral,0.8381840586662292
"We had #ChatGPT design a Pokemon based on us. Thoughts?

""A Pokemon called 'R Streetor,' which could be a Rock-type Pokemon with a stony, rectangular appearance to represent the ""street"" in its name. Its special power could be the ability to manipulate policy and regulations"" https://t.co/MNphyuAjwo",design pokemon based us thoughts pokemon called r streetor could rock type pokemon stony rectangular appearance represent street name special power could ability manipulate policy regulations https co mnphyuajwo, design Pokemon based on us thoughts .,Neutral,Positive,neutral,0.8451429009437561,neutral,0.7335019111633301
Someone needs to give Elmo these tips #ChatGPT https://t.co/dnxms4t0SI,someone needs give elmo tips https co dnxms si, someone needs to give elmo tips,Neutral,Neutral,neutral,0.7447792291641235,neutral,0.5972235798835754
"Come on Congress, it’s not like it’s hard: #ChatGPT https://t.co/xXALvsVilB",come congress like hard https co xxalvsvilb, come congress like hard. come congress,Positive,Positive,negative,0.8338127136230469,negative,0.7608946561813354
I am disappointed the AI doesn’t know that Zelda is not Link. #ChatGPT https://t.co/nWWGzuJD4n,disappointed ai know zelda link https co nwwgzujd n, disappointed ai know zelda link,Negative,Negative,neutral,0.8226178884506226,neutral,0.6031376719474792
"Seriously, watch my basic, easy-to-understand video introduction to GPT3, and you'll begin to understand what is happening under the hood of #ChatGPT. I developed this course for this moment. Watch here: https://t.co/yIJDFbor3s https://t.co/SUPe0STJGr",seriously watch basic easy understand video introduction gpt begin understand happening hood developed course moment watch https co yijdfbor https co supe stjgr, seriously watch basic easy understand video introduction,Positive,Positive,neutral,0.6552152633666992,neutral,0.49652600288391113
"There’s been a lot of buzz about artificial intelligence tools #ChatGPT and PrismaAI. These and other AI tools present thorny ethical issues. Caltech experts caution #AI itself is neither good nor bad, it will all come down to use and regulation. https://t.co/lXdhTFA7Zp",lot buzz artificial intelligence tools prismaai ai tools present thorny ethical issues caltech experts caution neither good bad come use regulation https co lxdhtfa zp, AI tools present thorny ethical issues,Positive,Positive,neutral,0.5360400676727295,positive,0.4091872274875641
Holy crap @adamscrabble #ChatGPT https://t.co/a3D1InPLAU,holy crap adamscrabble https co inplau, holy crap adamscrabble.,Negative,Negative,neutral,0.674946129322052,neutral,0.45974287390708923
