"","user_name","text","user_location","user_description","user_created","user_followers","user_friends","user_favourites","user_verified","date","hashtags","source"
"11881","Daniel Kraft, MD","Google Introduces #ChatGPT-like ChatBot for #Healthcare

MultiMedQA consists of 6 existing open-question answering datasets along with a new one called HealthSearchQA.

Paper from Google Research &amp; @DeepMind: https://t.co/1L9t8qTFOA

via @Analyticsindiam 

https://t.co/v6gKIZV2iu","Stanford, CA","Stanford & Harvard trained MD-Scientist. Chair @XPRIZE Pandemic Alliance, @AspenInstitute Fellow. Founder https://t.co/1eE8zLy23r, ExponentialMed, & https://t.co/YGpenFfxbm","2008-11-07 22:17:58+00:00","53225.0","7873.0","23395","True","2023-01-03 20:03:17+00:00","['ChatGPT', 'Healthcare']","Twitter for Mac"
"15189","Okcoin","Thanks #chatgpt #crypto #toasterfinance 😂 https://t.co/70D5oei68o","San Francisco, CA","We’re a global cryptocurrency exchange with the lowest fees around. A better way to #Bitcoin — and more.

Need support? Chat with us here: @OkcoinHelpDesk","2014-04-15 12:45:40+00:00","175915.0","174.0","16938","True","2023-01-02 00:00:01+00:00","['chatgpt', 'crypto', 'toasterfinance']","Twitter Web App"
"17803","𝙱𝚛𝚘𝚘𝚔𝚜 𝙴𝚕𝚖𝚜","*
Want a FREE robot AI writing assistant that can help you research, brainstorm &amp; even help you WRITE OUTLINES &amp; DIALOGUE?

For real

It's #ChatGPT 

Heard about it? 

I'll show you how to turn it into your own robot screenwriting assistant

Hit the next Tweet in the chain

(1/2) https://t.co/Rf86ceoguK","Hollywood CA - East Hampton NY","𝚆𝙶𝙰 𝚠𝚛𝚒𝚝𝚎𝚛 𝚘𝚏 𝚙𝚎𝚛𝚜𝚘𝚗𝚊𝚕 𝚌𝚑𝚊𝚛𝚊𝚌𝚝𝚎𝚛𝚜 & 𝚐𝚞𝚝-𝚙𝚞𝚗𝚌𝚑 𝚝𝚎𝚗𝚜𝚒𝚘𝚗👊🏻 𝚒𝚗𝚜𝚙𝚒𝚛𝚎𝚍 𝚜𝚌𝚛𝚎𝚎𝚗𝚠𝚛𝚒𝚝𝚒𝚗𝚐 𝚌𝚘𝚊𝚌𝚑","2008-10-14 18:12:12+00:00","67630.0","20517.0","10744","True","2022-12-30 21:58:42+00:00","","Twitter Web App"
"18416","PostSecret","Hey AI-
Which evidence-based New Year's Resolutions have the best chance of surviving a year and which ones are most helpful in bettering one's life?
#ChatGPT https://t.co/ahgJa8DMtj","Laguna Niguel, CA 92677","More Secrets, Stories & Surprises:  [mail to] PostSecret 
28241 Crown Valley Parkway, F-224
Laguna Niguel, CA 92677
or email image to: Frank@PostSecret.com","2009-01-21 18:34:19+00:00","412310.0","411.0","2334","True","2022-12-30 14:57:00+00:00","","Twitter Web App"
"19859","Brian Solis","Some? 

#ChatGPT is already proving to be a windfall for students and employees seeking shortcuts.

""Some US educators are worried about ChatGPT enabling cheating; an OpenAI researcher says the it is running experiments to determine how to battle misuse"" https://t.co/CReuev578F","Silicon Valley, CA","Global Innovation @Salesforce | 8x Best-Selling Author | Keynote Speaker | Digital Anthropologist | Futurist | Other Socials @BrianSolis |","2006-11-04 15:36:18+00:00","273411.0","3634.0","53613","True","2022-12-29 18:05:15+00:00","['ChatGPT']","Twitter Web App"
"21065","PostSecret","I went to #ChatGPT after striking out at Home Depot, Amazon, and Google. Just what I was looking for! Which one of the three will be most vulnerable when ChatGPT-4 is released next year. https://t.co/iaqV0kfd7m","Laguna Niguel, CA 92677","More Secrets, Stories & Surprises:  [mail to] PostSecret 
28241 Crown Valley Parkway, F-224
Laguna Niguel, CA 92677
or email image to: Frank@PostSecret.com","2009-01-21 18:34:19+00:00","412349.0","412.0","2335","True","2022-12-29 00:59:39+00:00","['ChatGPT']","Twitter Web App"
"21098","Jonathan Reichental","FREE: Would you enjoy a 1-hour basic, simple English video intro to #GPT3, the underlying tech that makes #ChatGPT work? Well, it's the holidays, so I'm making my popular course free for everyone for a few days. 

https://t.co/CSzx5zcAFr","Silicon Valley, CA","NEW BOOK: Data Governance for Dummies | Available Now: https://t.co/mEIOSBuoF8","2007-03-30 22:46:02+00:00","10786.0","4157.0","26821","True","2022-12-29 00:10:19+00:00","['GPT3', 'ChatGPT']","Twitter Web App"
"21602","SentinelOne","🤖 #SentinelLabs tested #ChatGPT to see how it can help reverse engineers and malware analysts. From finding patterns in #malware samples to understanding #vulnerabilities and exploit code, ChatGPT proved valuable. By @milenkowski and @philofishal 

https://t.co/J8witxH9bO","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22689.0","1418.0","6105","True","2022-12-28 17:48:00+00:00","['SentinelLabs', 'ChatGPT']","Sprout Social"
"22209","Asha Jadeja Motwani 🇮🇳🇺🇸","#ChatGPT is an AI designed to answer questions based on context and one's earlier conversations with the AI. It holds the power to completely alter the way we interact and function and is the hottest space for a VC to invest in.

#AI #ArtificialIntelligence #investing","San Francisco, CA","SF, Delhi, NY. Venture Capitalist. Data&EvidenceJunkie. Believer in Nature. Entrepreneurship. Wisdom of Crowd. Hindu Universalism. India+US Optimist","2009-06-04 19:39:31+00:00","48344.0","4228.0","6567","True","2022-12-28 11:02:12+00:00","['ChatGPT']","Twitter Web App"
"24542","Andy Riesmeyer","Developing a late-night talk show and have hired #ChatGPT as the head writer: https://t.co/RsnubgoO6a","Los Angeles, CA","host/sr producer @ktla, past showrunner/host @hot_wheels, @fullscreen, @machinima, @newsbreaker + more. Once an Indiana boy on them Indiana nights.","2008-06-09 15:10:18+00:00","2099.0","538.0","2179","True","2022-12-27 03:04:16+00:00","['ChatGPT']","Twitter Web App"
"24671","Steve Ward","Is every cloud storage company like @Box @Dropbox @googledrive @iCloud @onedrive and email provider like @gmail @Outlook etc racing to incorporate #ChatGPT as quickly as possible to finally offer semantic search &amp; end the painful effort we make to find our own work, history, etc?","Santa Monica, CA","🇮🇱, happily married w/a 👶🏻 due 6.22.23. #flyeaglesfly. CEO of https://t.co/ZnkZgTfmD3. CEO of https://t.co/b7UBbOcZzB. Hosted 👉🏻 @vh1 https://t.co/Ext7O4NP62","2008-07-10 23:39:13+00:00","82808.0","1656.0","8710","True","2022-12-27 00:24:21+00:00","","Twitter for Android"
"26347","🟩 Soulaima Gourani","What do you think? I dont believe @Google position is threatened just yet, unless #OpenAI starts to take market share of ad spend. Its a fair distance away from that #ChatGPT","Palo Alto, CA","CEO @jHappioh Software • mission to free up time for millions of people at scale • #MeetingIntelligence • @bigspeak • @Forbes • Inc.,Refinery29, Fast Company","2009-02-17 09:44:42+00:00","8461.0","4421.0","49967","True","2022-12-25 21:32:06+00:00","['OpenAI']","Twitter for iPhone"
"26818","Spencer Rascoff","New episode of Dad I Have a Question podcast: “what is Chat GPT?”
#ChatGPT 

https://t.co/khKgI7ef0H","Los Angeles, CA","@75SunnyVentures, Co-founder @PacasoHomes @dotLA @queue @getreconfood, prof @Harvard @HarvardHBS, BoD @VaroBank, Office Hours podcast. Fmr @Zillow @Hotwire","2009-01-16 00:19:47+00:00","73684.0","913.0","7426","True","2022-12-25 12:56:39+00:00","['ChatGPT']","Twitter for iPhone"
"27610","Sandy.NFT 11-11","Loving #AI helping #web3 and #metaverse utility!

Check this out from @unstoppableweb using @ChatwithGPT 

We’re demoing a  new feature that uses #ChatGPT AI to suggest Web3 domain names based on your search

https://t.co/r5vBGwztOL

Try the demo and tell me what you think 👇👇 https://t.co/Y9j4C3vXYh","San Francisco, CA","Agile leader. Energizer bunny. SVP Unstoppable, #AWS VP Alum + https://t.co/ColOjn0WSD 10 #AI #Cloud #CMO #Web3 #IoT influencer. Best Selling Author. TEDx.","2008-03-01 15:43:11+00:00","88754.0","78729.0","52894","True","2022-12-24 17:00:32+00:00","['AI', 'web3', 'metaverse']","Hootsuite Inc."
"28305","Mahesh Shankar","Help #ChatGPT! What do I do? https://t.co/7RpHPHAF9c","San Francisco, CA","Musician/Geek/Freak; Music: Vennela/Prayanam/Prasthanam; Songs in #TheFamilyMan2; CTO: @influxwww; Ex-CTO: Zivame; Co-founder: TenTenTen; ❤️ /s & ;s","2011-01-03 11:30:37+00:00","4321.0","1639.0","2879","True","2022-12-24 06:07:15+00:00","['ChatGPT']","Twitter for iPhone"
"29303","Dana Ward","Interesting thread #ChatGPT - start at top. Below is practical takeaway. https://t.co/GlSiR2jyhQ","Los Angeles, CA","Entrepreneur | Founder Barefoot Scientist, acq by Japonesque | Founding team Clevver Media 0 to 3B+ views, acq by Hearst","2009-04-15 18:27:42+00:00","32097.0","339.0","15275","True","2022-12-23 16:18:17+00:00","['ChatGPT']","Twitter for iPhone"
"29342","SentinelOne","👩🏿‍💻 Automate reverse engineering tasks. We all want to work more effectively. #ChatGPT can help write scripts in #IDAPython or #java for #Ghidra. 

12/13 https://t.co/YSY707DzbD","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22373.0","1408.0","6082","True","2022-12-23 15:46:00+00:00","['ChatGPT']","Twitter Web App"
"29343","SentinelOne","Analyze code segments in malware samples. Ask #ChatGPT about the purpose of functions in pseudocode or disassembly.  

8/13","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22373.0","1408.0","6082","True","2022-12-23 15:45:58+00:00","['ChatGPT']","Twitter Web App"
"29344","SentinelOne","🗣️ Translate Between Instruction Sets. Familiar with #Intel but need to learn #arm? Tell #ChatGPT to translate assembly code written in one instruction set to another. 

6/13","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22373.0","1408.0","6082","True","2022-12-23 15:45:57+00:00","['Intel', 'arm', 'ChatGPT']","Twitter Web App"
"29345","SentinelOne","🧪 Write PoC source code quickly. #ChatGPT can help us to write source code to test our theories, and it knows all your favourite languages #golang, #rust, #python, #c and more. 

5/13","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22373.0","1408.0","6082","True","2022-12-23 15:45:57+00:00","['ChatGPT']","Twitter Web App"
"29346","SentinelOne","😉Understand how source code translates to #disassembly. How do changes in source code reflect when viewed through the eyes of a disassembler? You can coax #ChatGPT into disassembling code for you.  

4/13 https://t.co/1rJUpUjvSl","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22373.0","1408.0","6082","True","2022-12-23 15:45:56+00:00","['disassembly']","Twitter Web App"
"29347","SentinelOne","👾 Teach yourself #assembly language. Ask #ChatGPT to convert high-level code into assembly. #arm #intel little endian big endian #nasm #masm. It knows them all. 

3/13","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22373.0","1408.0","6082","True","2022-12-23 15:45:55+00:00","['assembly', 'ChatGPT', 'arm', 'intel']","Twitter Web App"
"29348","SentinelOne","🧵 Everyone’s chatting about 🤖#ChatGPT. Here are 11 things it can do for #malware analysts, #security researchers, and #reverse engineers. A thread &gt;&gt;👇 🧵 
1/13","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22373.0","1408.0","6082","True","2022-12-23 15:45:54+00:00","['ChatGPT', 'malware', 'security']","Twitter Web App"
"29489","Sandy.NFT 11-11","Loving #AI helping #web3 and #metaverse utility!

Check this out from @unstoppableweb using @ChatwithGPT 

We’re demoing a  new feature that uses #ChatGPT AI to suggest Web3 domain names based on your search

https://t.co/IytuyfY0n1

Try the demo and tell me what you think 👇👇 https://t.co/KyZVeR3CcV","San Francisco, CA","Agile leader. Energizer bunny. SVP Unstoppable, #AWS VP Alum + https://t.co/ColOjn0WSD 10 #AI #Cloud #CMO #Web3 #IoT influencer. Best Selling Author. TEDx.","2008-03-01 15:43:11+00:00","88753.0","78728.0","52850","True","2022-12-23 14:10:12+00:00","['AI', 'web3', 'metaverse']","Hootsuite Inc."
"30792","ramaswamy.eth","4/ #chatgpt has stirred up the hornet's nest by posing an existential threat to Google. 

There are rumors of a Code Red at Google.","Mountain View, CA","@neeva @nxyzdata Co-Founder @GreylockVC Venture Partner. Ex-@Google SVP of Ads Ex-@BellLabs. Musings on tech, AI, privacy, competition, equity...","2018-10-01 19:29:30+00:00","13502.0","553.0","2031","True","2022-12-22 20:59:06+00:00","['chatgpt']","Twitter Web App"
"30793","ramaswamy.eth","2/ OpenAI released #chatgpt. 

OpenAI was aware that this will be interpreted as a Google killer. 

They have not released any details of ChatGPT. 

Just a blog post. 

https://t.co/5xsZ1QOfOz","Mountain View, CA","@neeva @nxyzdata Co-Founder @GreylockVC Venture Partner. Ex-@Google SVP of Ads Ex-@BellLabs. Musings on tech, AI, privacy, competition, equity...","2018-10-01 19:29:30+00:00","13502.0","553.0","2031","True","2022-12-22 20:59:04+00:00","['chatgpt']","Twitter Web App"
"30794","ramaswamy.eth","openAI or ""open""AI?

1/ OpenAI's #chatgpt release will mark the beginning of the end of the golden age of open research in deep learning.

This will have significant implications for LLM research going forward. 

Here are some thoughts from me, @vivek7ue and @rajhans_samdani 🧵","Mountain View, CA","@neeva @nxyzdata Co-Founder @GreylockVC Venture Partner. Ex-@Google SVP of Ads Ex-@BellLabs. Musings on tech, AI, privacy, competition, equity...","2018-10-01 19:29:30+00:00","13502.0","553.0","2031","True","2022-12-22 20:59:04+00:00","['chatgpt']","Twitter Web App"
"32269","Anova","ChatGPT, Write a tweet about the Anova Precision Oven: ""It's revolutionizing the way people cook at home, with precise temperature control and easy sous vide cooking. Try it out and see for yourself! #Anova #sousvide #cooking #precision"" 

Accurate? 
#ChatGPT","San Francisco, CA","Cook like a pro #anovafoodnerd","2012-10-15 19:45:49+00:00","30953.0","4.0","6711","True","2022-12-22 04:13:20+00:00","","Twitter Web App"
"32335","Aragon Research","📱Can you train #ChatGPT to be your #DigitalAssistant? 

#ChatGPT answers quick questions and it can even writes blogs and essays for you. Can it assist you? 👩‍💻 

CEO &amp; Lead Analyst, @JimLundy compares ChatGPT to #Siri and #GoogleAssistant: https://t.co/sCQUHZALfY https://t.co/K84JwN58bm","Morgan Hill, CA","Leading technology research and advisory firm. Trusted by 200+ clients.","2011-05-09 21:24:29+00:00","26593.0","13696.0","8805","True","2022-12-22 03:15:11+00:00","['ChatGPT', 'DigitalAssistant', 'ChatGPT']","Sprout Social"
"32544","Anova Sous Vide","ChatGPT, Write a tweet about the Anova Precision Oven: ""It's revolutionizing the way people cook at home, with precise temperature control and easy sous vide cooking. Try it out and see for yourself! #Anova #sousvide #cooking #precision"" 

Accurate? 
#ChatGPT","San Francisco, CA","Cook like a pro #anovafoodnerd","2012-10-15 19:45:49+00:00","30952.0","3.0","6708","True","2022-12-22 04:13:20+00:00","","Twitter Web App"
"32637","Sam Pullara","In one Asimov future, the people that used computers would ask it questions and interpret the answers for everyone else. #ChatGPT (this is also one of my favorite short stories)

https://t.co/xtuFaG7q1t","Los Altos, CA","vc/cto at sutter hill ventures, coder, poker player, ex-founder, ex-twitter, ex-yahoo, ex-weblogic","2007-01-19 22:53:16+00:00","12596.0","2022.0","17877","True","2022-12-21 22:33:55+00:00","","Twitter Web App"
"32920","vidIQ","vidlQ has been working on something exciting!

Get ready to turn your small channel BIG with the help of Al. Think #ChatGPT but trained to be a YouTube Coach!

Check out an early preview build of the vidlQ Al coach for free by registering at https://t.co/x11FCpb0DE https://t.co/QSmh0prqt0","San Francisco, CA","We empower every video creator with the insights and inspiration they need to grow! #CreatorObsessed","2011-10-19 18:58:39+00:00","108446.0","894.0","44021","True","2022-12-21 20:00:23+00:00","","Hypefury"
"33325","ramaswamy.eth","1/ #ChatGPT is closing out 2022 with a bang, but what’s next? 💥 

@OpenAI’s #GPT4 is set to be the first big #AI thing in 2023.

So here are some bold, optimistic, yet sensible predictions from me, @vivek7ue and @rajhans_samdani ... 👀","Mountain View, CA","@neeva @nxyzdata Co-Founder @GreylockVC Venture Partner. Ex-@Google SVP of Ads Ex-@BellLabs. Musings on tech, AI, privacy, competition, equity...","2018-10-01 19:29:30+00:00","12810.0","552.0","2024","True","2022-12-21 16:36:10+00:00","['ChatGPT', 'GPT4', 'AI']","Twitter Web App"
"33406","SentinelOne","🤖New on #SentinelLabs! We tested #ChatGPT to see how it can help reverse engineers &amp; malware analysts. From finding patterns in #malware samples to understanding #vulnerabilities and exploit code, #ChatGPT proved valuable. By @milenkowski &amp; @philofishal 
https://t.co/J8witxpxNe","Mountain View, CA","ONE autonomous platform to prevent, detect, respond, and hunt. Do more, save time, secure your enterprise: https://t.co/N75g1HzPMU 🐱‍💻","2013-01-11 01:46:42+00:00","22127.0","1410.0","6080","True","2022-12-21 16:00:26+00:00","['SentinelLabs', 'ChatGPT']","Twitter Web App"
"33661","TheWrap",".@pcsathy test drives the new AI phenom #ChatGPT and discovers it could really someday take every job in Hollywood. https://t.co/0L59XBAWmJ","Los Angeles, CA","We're not in the business. We cover the business.","2009-01-07 22:37:11+00:00","255974.0","11980.0","17588","True","2022-12-21 14:00:11+00:00","['ChatGPT']","TheWrap"
"34556","PubNub","Who hasn't at least heard of #ChatGPT let alone composed a poem or 2? 🙋 #AI has definitely topped the news...so how can #programmers stay ahead of the game? https://t.co/A2FNNbWtum https://t.co/yrHPrAYaO4","San Francisco, CA","Powering realtime applications that transform products, industries, and human experiences.","2010-06-06 21:03:46+00:00","19269.0","5977.0","2801","True","2022-12-21 01:00:39+00:00","['ChatGPT', 'AI']","Buffer"
"34558","Aragon Research","✏️ We asked #ChatGPT to write a 600 word blog on itself, and boy, did it deliver! #Content #AI #ArtificialIntelligence 📃 

🤖 Check it out: https://t.co/YEZHBiK5o6 https://t.co/AIsCEB5fH1","Morgan Hill, CA","Leading technology research and advisory firm. Trusted by 200+ clients.","2011-05-09 21:24:29+00:00","26581.0","13690.0","8805","True","2022-12-21 01:00:08+00:00","['ChatGPT', 'Content', 'AI']","Sprout Social"
"35343","PostSecret","#ChatGPT would be the perfect platform to bring widespread #micropayments to the internet, to replace the stranglehold advertising has had over the web.","Laguna Niguel, CA 92677","More Secrets, Stories & Surprises:  [mail to] PostSecret 
28241 Crown Valley Parkway, F-224
Laguna Niguel, CA 92677
or email image to: Frank@PostSecret.com","2009-01-21 18:34:19+00:00","412544.0","414.0","2339","True","2022-12-20 17:03:42+00:00","['ChatGPT', 'micropayments']","Twitter Web App"
"36940","Ra Nerdsworth","When making a request in #OpenAI #ChatGPT, It takes everything in me not to end said request with 𝘱𝘭𝘦𝘢𝘴𝘦.","Los Angeles, CA","Ra | Polymath, Producer, MC | https://t.co/qM231xZS93 | https://t.co/PEuz5TbEuf | https://t.co/lgHBxnpAAm | ENFP | GERTRUDE - ☉","2008-06-24 08:29:39+00:00","138828.0","770.0","14607","True","2022-12-19 19:51:29+00:00","['OpenAI', 'ChatGPT']","Twitter Web App"
"38460","Sandra Oshiro","Not bad, #ChatGPT. But somewhat rote. Sorry to judge. https://t.co/PTrYE1K87B","Los Angeles, CA | Honolulu, HI","Former News Editor/Hawaii Public Radio | Ex-KPCC, Poynter Institute, Honolulu Advertiser | Loves gadgets | ssoshiro@gmail.com","2007-06-27 22:34:16+00:00","1344.0","1782.0","103","True","2022-12-19 00:13:27+00:00","['ChatGPT']","Twitter for iPhone"
"38789","Romain Pellerin","Training #chatGPT on #zkp ... 

It should be part of every PI/mentor didactic training to train a bot, lot of patience required😆 https://t.co/B3Q0Ew6sza","San Diego, CA","CTO at @InputOutputHK • PhD in Computer Science • Web3 & Blockchain • Building #Cardano & #Midnight • PGP: BFCB 6D56 50D5 E22B 3E72 CCF2 1A6A 27A4 6434 16EC","2010-03-01 20:09:30+00:00","7342.0","740.0","2649","True","2022-12-13 21:00:26+00:00","['chatGPT', 'zkp']","Twitter Web App"
"39005","Romain Pellerin","TLDR by #chatGPT about how blockchain and decentralized identity can change our world 🖖

#cardano #prism #midnight https://t.co/eT42nqMmqz","San Diego, CA","CTO at @InputOutputHK • PhD in Computer Science • Web3 & Blockchain • Building #Cardano & #Midnight • PGP: BFCB 6D56 50D5 E22B 3E72 CCF2 1A6A 27A4 6434 16EC","2010-03-01 20:09:30+00:00","7342.0","740.0","2649","True","2022-12-13 19:26:50+00:00","['chatGPT', 'cardano', 'prism', 'midnight']","Twitter Web App"
"41730","Lane Wood","Ok this one's impressive. #ChatGPT https://t.co/ypYjl3k0X7","Los Angeles, CA","Mostly forgettable, occasionally remarkable. Advisor, optimist. Warby Parker, charity: water, https://t.co/3Cx627SyKn, Summit and more","2008-04-07 17:43:11+00:00","5800.0","2946.0","23442","True","2022-12-12 20:58:31+00:00","['ChatGPT']","Twitter Web App"
"42910","PostSecret","#ChatGPT Today https://t.co/JILV7leo7I","Laguna Niguel, CA 92677","More Secrets, Stories & Surprises:  [mail to] PostSecret 
28241 Crown Valley Parkway, F-224
Laguna Niguel, CA 92677
or email image to: Frank@PostSecret.com","2009-01-21 18:34:19+00:00","413101.0","414.0","2339","True","2022-12-12 14:01:27+00:00","['ChatGPT']","Twitter Web App"
"42916","WalkMe","Well, if #ChatGPT said it....

@OpenAI #AI #DigitalTransformation https://t.co/8ioEwnj5dP","San Francisco, CA","Driving successful digital transformation with digital adoption.","2012-04-03 06:27:32+00:00","14886.0","6367.0","9266","True","2022-12-12 14:00:01+00:00","['ChatGPT', 'AI', 'DigitalTransformation']","Sprinklr Publishing"
"45160","Brian Solis","#ChatGPT just crossed over 1 million users/testers, helping to both train the platform and also promote it. 💡 https://t.co/L6NdtWcIxJ","Silicon Valley, CA","Global Innovation Evangelist @Salesforce | 8x Best-Selling Author | Keynote Speaker | Digital Anthropologist | IG @BrianSolis | https://t.co/oEsju2WD9y","2006-11-04 15:36:18+00:00","273781.0","3631.0","53566","True","2022-12-11 16:57:16+00:00","['ChatGPT']","Twitter Web App"
"45161","Brian Solis","Me: ""ChatGPT, explain #chatgpt to the average user.""

ChaptGPT: ""ChatGPT is a chatbot that uses natural language processing (NLP) to generate esponses to user input in a conversational manner. It is based on the GPT-3 language model, which has been trained on a large...""👇 https://t.co/wzabGlH3kQ","Silicon Valley, CA","Global Innovation Evangelist @Salesforce | 8x Best-Selling Author | Keynote Speaker | Digital Anthropologist | IG @BrianSolis | https://t.co/oEsju2WD9y","2006-11-04 15:36:18+00:00","273781.0","3631.0","53566","True","2022-12-11 16:57:14+00:00","['chatgpt']","Twitter Web App"
